"","timestamp","El.Espinal.Wind.Speed..80.m.","El.Espinal.Wind.Direction..80.m."
"206",2020-04-20 13:00:00,8.4963045,233.61565
"207",2020-04-20 14:00:00,10.990322,238.3925
"208",2020-04-20 15:00:00,10.495713,247.83365
"209",2020-04-20 16:00:00,11.525623,255.52971
"210",2020-04-20 17:00:00,11.212135,264.47247
"211",2020-04-20 18:00:00,12.245294,268.3153
"212",2020-04-20 19:00:00,8.669949,265.23636
"213",2020-04-20 20:00:00,9.9571085,257.4712
"214",2020-04-20 21:00:00,8.12197,257.19574
"215",2020-04-20 22:00:00,5.1544156,257.90524
"216",2020-04-20 23:00:00,1.8,233.1301
"217",2020-04-21 00:00:00,1.484318,165.96376
"218",2020-04-21 01:00:00,2.5959969,146.30994
"219",2020-04-21 02:00:00,2.5455842,135
"220",2020-04-21 03:00:00,2.8116899,129.80557
"221",2020-04-21 04:00:00,3.096837,125.537674
"222",2020-04-21 05:00:00,3.396233,122.00538
"224",2020-04-21 07:00:00,5.937272,75.96376
"225",2020-04-21 08:00:00,3.9763298,84.805565
"226",2020-04-21 09:00:00,3.319036,220.6013
"227",2020-04-21 10:00:00,6.696387,233.74615
"228",2020-04-21 11:00:00,7.491114,234.78241
"229",2020-04-21 12:00:00,9.085988,236.30994
"230",2020-04-21 13:00:00,9.387651,237.52881
"231",2020-04-21 14:00:00,10.990322,238.3925
"232",2020-04-21 15:00:00,12.074766,243.43495
"233",2020-04-21 16:00:00,12.10157,247.24902
"234",2020-04-21 17:00:00,10.829959,254.57785
"235",2020-04-21 18:00:00,9.605998,257.00537
"236",2020-04-21 19:00:00,6.989936,214.50853
"237",2020-04-21 20:00:00,6.28713,203.62938
"238",2020-04-21 21:00:00,4.68,180
"239",2020-04-21 22:00:00,5.904439,142.4314
"240",2020-04-21 23:00:00,7.127636,135
"241",2020-04-22 00:00:00,7.145796,130.91438
"242",2020-04-22 01:00:00,5.991594,122.73523
"243",2020-04-22 02:00:00,4.6938257,122.47119
"244",2020-04-22 03:00:00,4.198285,120.96376
"245",2020-04-22 04:00:00,4.2136917,109.9831
"246",2020-04-22 05:00:00,3.671294,101.30993
"247",2020-04-22 06:00:00,3.671294,101.30993
"248",2020-04-22 07:00:00,4.829907,63.43495
"249",2020-04-22 08:00:00,2.52,89.99999
"250",2020-04-22 09:00:00,5.00128,210.25644
"251",2020-04-22 10:00:00,8.654987,225
"252",2020-04-22 11:00:00,8.78872,235.00798
"253",2020-04-22 12:00:00,9.885262,236.88866
"254",2020-04-22 13:00:00,9.826088,241.55707
"255",2020-04-22 14:00:00,11.113451,245.09525
"256",2020-04-22 15:00:00,8.854829,243.43495
"257",2020-04-22 16:00:00,10.966713,246.8014
"258",2020-04-22 17:00:00,10.24578,251.56506
"259",2020-04-22 18:00:00,7.628263,250.70996
"260",2020-04-22 19:00:00,7.289445,237.09476
"261",2020-04-22 20:00:00,6.696387,233.74615
