"","timestamp","Amalia.Wind.Speed..80.m.","Amalia.Wind.Direction..80.m."
"253",2020-04-22 12:00:00,15.617529,295.97443
"254",2020-04-22 13:00:00,17.399586,294.44397
"255",2020-04-22 14:00:00,19.008547,294.62357
"256",2020-04-22 15:00:00,20.447239,296.11392
"257",2020-04-22 16:00:00,21.434364,299.14807
"258",2020-04-22 17:00:00,21.67487,302.10626
"259",2020-04-22 18:00:00,25.862436,308.78436
"260",2020-04-22 19:00:00,25.759504,296.56506
"261",2020-04-22 20:00:00,30.737339,288.43497
"262",2020-04-22 21:00:00,31.89608,286.38956
"263",2020-04-22 22:00:00,28.348713,287.7447
"264",2020-04-22 23:00:00,20.523157,291.61478
"265",2020-04-23 00:00:00,13.708391,293.1986
"266",2020-04-23 01:00:00,9.659814,296.56506
"267",2020-04-23 02:00:00,7.145796,310.91437
"268",2020-04-23 03:00:00,7.5170207,343.30075
"269",2020-04-23 04:00:00,8.049845,10.30484
"270",2020-04-23 05:00:00,7.9932966,35.837646
"271",2020-04-23 06:00:00,10.041354,14.534454
"272",2020-04-23 07:00:00,8.049845,26.565033
"273",2020-04-23 08:00:00,5.8048253,29.744873
"274",2020-04-23 09:00:00,5.4833565,23.198593
"275",2020-04-23 10:00:00,5.8048253,7.125
"276",2020-04-23 11:00:00,4.3349743,355.23636
"277",2020-04-23 12:00:00,3.0547013,315
"278",2020-04-23 13:00:00,6.2145634,280.008
"279",2020-04-23 14:00:00,10.239453,280.1247
"280",2020-04-23 15:00:00,14.145756,284.74356
"281",2020-04-23 16:00:00,16.516901,286.46002
"282",2020-04-23 17:00:00,18.079027,282.65256
"283",2020-04-23 18:00:00,27.645092,261.76437
"284",2020-04-23 19:00:00,31.667723,261.50146
"285",2020-04-23 20:00:00,33.933697,265.74115
"286",2020-04-23 21:00:00,32.039997,270
"287",2020-04-23 22:00:00,25.199999,270
"288",2020-04-23 23:00:00,14.471821,264.28943
"289",2020-04-24 00:00:00,9.178235,258.69006
"290",2020-04-24 01:00:00,6.2145634,259.992
"291",2020-04-24 02:00:00,3.9763298,264.80557
"292",2020-04-24 03:00:00,1.08,270
"293",2020-04-24 04:00:00,1.4399999,89.99999
"294",2020-04-24 05:00:00,3.96,89.99999
"295",2020-04-24 06:00:00,5.8603754,42.510437
"296",2020-04-24 07:00:00,5.506941,78.69006
"297",2020-04-24 08:00:00,3.4152596,108.434944
"298",2020-04-24 09:00:00,4.39436,145.00798
"299",2020-04-24 10:00:00,5.7599998,180
"300",2020-04-24 11:00:00,7.4128532,209.05461
"301",2020-04-24 12:00:00,10.009036,232.30576
"302",2020-04-24 13:00:00,13.70839,240.0685
"303",2020-04-24 14:00:00,16.92383,246.16125
"304",2020-04-24 15:00:00,19.93048,253.20163
"305",2020-04-24 16:00:00,21.749481,257.57407
"306",2020-04-24 17:00:00,23.087763,259.2157
"307",2020-04-24 18:00:00,25.509243,261.0694
"308",2020-04-24 19:00:00,28.467329,256.84247
"309",2020-04-24 20:00:00,31.491255,259.46082
"310",2020-04-24 21:00:00,30.703587,265.29214
"311",2020-04-24 22:00:00,27.36947,268.49255
"312",2020-04-24 23:00:00,19.083395,268.91907
"313",2020-04-25 00:00:00,11.212135,264.47247
"314",2020-04-25 01:00:00,7.172949,252.47443
"315",2020-04-25 02:00:00,5.00128,239.74356
"316",2020-04-25 03:00:00,3.096837,234.46233
"317",2020-04-25 04:00:00,0.35999998,180
