"","timestamp","El.Nuevo.Mercurio.Wind.Speed..80.m.","El.Nuevo.Mercurio.Wind.Direction..80.m."
"257",2020-04-22 16:00:00,23.499481,264.7261
"258",2020-04-22 17:00:00,25.210283,268.36343
"259",2020-04-22 18:00:00,26.28986,271.56937
"260",2020-04-22 19:00:00,26.882141,277.69604
"261",2020-04-22 20:00:00,34.162083,277.87393
"262",2020-04-22 21:00:00,36.2082,287.35403
"263",2020-04-22 22:00:00,36.10963,290.42233
"264",2020-04-22 23:00:00,32.69664,290.62988
"265",2020-04-23 00:00:00,29.598919,288.43494
"266",2020-04-23 01:00:00,29.09103,282.1443
"267",2020-04-23 02:00:00,26.121714,277.125
"268",2020-04-23 03:00:00,25.153671,279.0579
"269",2020-04-23 04:00:00,24.162947,294.65588
"270",2020-04-23 05:00:00,25.741888,312.1659
"271",2020-04-23 06:00:00,21.028437,321.95297
"272",2020-04-23 07:00:00,15.124284,321.76617
"273",2020-04-23 08:00:00,15.281989,313.09088
"274",2020-04-23 09:00:00,8.78872,304.99203
"275",2020-04-23 10:00:00,14.113652,322.2532
"276",2020-04-23 11:00:00,17.873556,332.4027
"277",2020-04-23 12:00:00,18.514643,333.43497
"278",2020-04-23 13:00:00,16.279802,324.90417
"279",2020-04-23 14:00:00,14.76439,315
"280",2020-04-23 15:00:00,14.186923,305.7067
"281",2020-04-23 16:00:00,13.891522,301.2184
"282",2020-04-23 17:00:00,14.336861,298.49567
"283",2020-04-23 18:00:00,13.53236,298.61047
"284",2020-04-23 19:00:00,12.682018,304.5923
"285",2020-04-23 20:00:00,15.629971,345.3236
"286",2020-04-23 21:00:00,12.57426,13.240509
"287",2020-04-23 22:00:00,9.387651,32.47119
"288",2020-04-23 23:00:00,5.991594,32.735214
"289",2020-04-24 00:00:00,2.7416782,23.198593
"290",2020-04-24 01:00:00,0.71999997,360
"291",2020-04-24 02:00:00,0.71999997,270
"292",2020-04-24 03:00:00,1.8,233.1301
"293",2020-04-24 04:00:00,3.096837,215.53769
"294",2020-04-24 05:00:00,3.2599385,186.3402
"295",2020-04-24 06:00:00,4.1046314,164.74487
"296",2020-04-24 07:00:00,5.8048253,150.25511
"297",2020-04-24 08:00:00,7.145796,139.08562
"298",2020-04-24 09:00:00,6.696387,143.74615
"299",2020-04-24 10:00:00,4.1046314,142.12502
"300",2020-04-24 11:00:00,1.4399999,89.99999
"301",2020-04-24 12:00:00,5.4477882,7.594635
"302",2020-04-24 13:00:00,5.771239,356.42368
"303",2020-04-24 14:00:00,5.3517847,340.3462
"304",2020-04-24 15:00:00,6.638072,319.3987
"305",2020-04-24 16:00:00,7.928177,309.47247
"306",2020-04-24 17:00:00,9.726664,308.991
"307",2020-04-24 18:00:00,10.464797,310.8151
"308",2020-04-24 19:00:00,11.480557,318.8141
