"","timestamp","Cahuapan.Wind.Speed..80.m.","Cahuapan.Wind.Direction..80.m."
"227",2020-04-21 10:00:00,7.5942082,211.42957
"228",2020-04-21 11:00:00,7.42159,219.09386
"229",2020-04-21 12:00:00,5.937272,194.03624
"230",2020-04-21 13:00:00,5.3999996,180
"231",2020-04-21 14:00:00,4.896529,162.89728
"232",2020-04-21 15:00:00,3.8939953,146.30994
"233",2020-04-21 16:00:00,3.5455887,113.96249
"234",2020-04-21 17:00:00,9.793059,36.027374
"235",2020-04-21 18:00:00,27.231804,24.193207
"236",2020-04-21 19:00:00,22.17144,32.39984
"237",2020-04-21 20:00:00,10.315115,29.24881
"238",2020-04-21 21:00:00,5.1165614,309.2894
"239",2020-04-21 22:00:00,8.473393,282.26477
"240",2020-04-21 23:00:00,13.324863,268.45184
"241",2020-04-22 00:00:00,13.358861,255.96376
"242",2020-04-22 01:00:00,9.504273,245.37643
"243",2020-04-22 02:00:00,4.510787,208.61046
"244",2020-04-22 03:00:00,7.42159,202.83365
"245",2020-04-22 04:00:00,12.096214,216.52885
"246",2020-04-22 05:00:00,14.480773,214.87534
"247",2020-04-22 06:00:00,17.477621,212.38068
"248",2020-04-22 07:00:00,20.304129,217.07307
"249",2020-04-22 08:00:00,11.113451,204.90477
"250",2020-04-22 09:00:00,13.570615,201.8014
"251",2020-04-22 10:00:00,14.021525,209.19748
"252",2020-04-22 11:00:00,13.527572,205.20113
"253",2020-04-22 12:00:00,11.720751,190.61966
"254",2020-04-22 13:00:00,11.525623,178.21008
"255",2020-04-22 14:00:00,12.522619,161.56505
"256",2020-04-22 15:00:00,12.783802,170.27242
"257",2020-04-22 16:00:00,14.404499,181.4321
"258",2020-04-22 17:00:00,18.947083,194.30028
"259",2020-04-22 18:00:00,30.267845,206.86981
"260",2020-04-22 19:00:00,34.177254,203.59482
"261",2020-04-22 20:00:00,21.897945,207.40758
"262",2020-04-22 21:00:00,28.387545,192.45
"263",2020-04-22 22:00:00,27.553526,197.488
"264",2020-04-22 23:00:00,30.513052,199.29004
"265",2020-04-23 00:00:00,33.47032,198.8247
"266",2020-04-23 01:00:00,35.772484,200.62354
"267",2020-04-23 02:00:00,38.251587,198.0939
"268",2020-04-23 03:00:00,40.35213,195.52411
"269",2020-04-23 04:00:00,41.312252,192.58296
"270",2020-04-23 05:00:00,40.186382,189.79985
"271",2020-04-23 06:00:00,38.89666,187.98012
"272",2020-04-23 07:00:00,37.579926,184.94597
"273",2020-04-23 08:00:00,18.228943,170.90973
"274",2020-04-23 09:00:00,29.88217,179.30972
"275",2020-04-23 10:00:00,48.175476,189.46233
"276",2020-04-23 11:00:00,54.646526,191.01384
"277",2020-04-23 12:00:00,55.422462,191.23694
"278",2020-04-23 13:00:00,54.716446,191.38387
"279",2020-04-23 14:00:00,55.14114,191.67674
"280",2020-04-23 15:00:00,54.863102,192.12102
"281",2020-04-23 16:00:00,54.049175,193.4809
"282",2020-04-23 17:00:00,53.87265,194.31483
"283",2020-04-23 18:00:00,51.08703,195.11348
"284",2020-04-23 19:00:00,48.63332,194.13911
"285",2020-04-23 20:00:00,41.48912,210.79324
"286",2020-04-23 21:00:00,43.791447,206.3544
"287",2020-04-23 22:00:00,42.505924,207.21611
"288",2020-04-23 23:00:00,44.12754,205.10161
"289",2020-04-24 00:00:00,42.518116,205.0462
"290",2020-04-24 01:00:00,42.5044,206.131
"291",2020-04-24 02:00:00,41.750687,209.43849
