"","timestamp","Playa.Novillero.Wind.Speed..80.m.","Playa.Novillero.Wind.Direction..80.m."
"211",2020-04-20 18:00:00,12.287555,238.17256
"212",2020-04-20 19:00:00,8.714677,218.29016
"213",2020-04-20 20:00:00,8.217153,208.81079
"214",2020-04-20 21:00:00,5.771239,183.57634
"215",2020-04-20 22:00:00,5.0142193,158.9625
"216",2020-04-20 23:00:00,5.904439,127.56859
"217",2020-04-21 00:00:00,7.24486,116.56505
"218",2020-04-21 01:00:00,7.754637,111.80141
"219",2020-04-21 02:00:00,7.771331,103.392494
"220",2020-04-21 03:00:00,6.87779,96.009
"221",2020-04-21 04:00:00,6.849467,86.98721
"222",2020-04-21 05:00:00,6.9899354,78.11134
"224",2020-04-21 07:00:00,10.028439,68.96249
"225",2020-04-21 08:00:00,7.8625183,74.054596
"226",2020-04-21 09:00:00,2.52,89.99999
"227",2020-04-21 10:00:00,2.6208394,195.9454
"228",2020-04-21 11:00:00,5.1165614,230.7106
"229",2020-04-21 12:00:00,9.085988,236.30994
"230",2020-04-21 13:00:00,10.883676,235.7843
"231",2020-04-21 14:00:00,13.281023,237.17145
"232",2020-04-21 15:00:00,12.682018,235.40771
"233",2020-04-21 16:00:00,13.979872,235.49149
"234",2020-04-21 17:00:00,12.313894,232.12502
"235",2020-04-21 18:00:00,12.261157,229.76364
"236",2020-04-21 19:00:00,7.145796,220.91438
"237",2020-04-21 20:00:00,7.491114,215.21759
"238",2020-04-21 21:00:00,5.0142193,201.0375
"239",2020-04-21 22:00:00,3.0758414,159.44395
"240",2020-04-21 23:00:00,3.5455887,113.96249
"241",2020-04-22 00:00:00,3.6179552,95.71059
"242",2020-04-22 01:00:00,3.6,89.99999
"243",2020-04-22 02:00:00,3.9763298,84.805565
"244",2020-04-22 03:00:00,4.1046314,74.74488
"245",2020-04-22 04:00:00,4.829907,63.43495
"246",2020-04-22 05:00:00,5.1919937,56.30993
"247",2020-04-22 06:00:00,5.6233797,50.194427
"248",2020-04-22 07:00:00,6.725354,74.47588
"249",2020-04-22 08:00:00,3.9763298,84.805565
"250",2020-04-22 09:00:00,1.8,180
"251",2020-04-22 10:00:00,4.6102495,218.65982
"252",2020-04-22 11:00:00,5.6233797,230.19443
"253",2020-04-22 12:00:00,8.39657,239.03624
"254",2020-04-22 13:00:00,9.693296,238.67131
"255",2020-04-22 14:00:00,12.413477,240.46121
"256",2020-04-22 15:00:00,12.904882,239.85861
"257",2020-04-22 16:00:00,14.386494,238.29858
"258",2020-04-22 17:00:00,12.88981,234.09029
"259",2020-04-22 18:00:00,12.031756,231.07246
"260",2020-04-22 19:00:00,5.3517847,227.72632
"261",2020-04-22 20:00:00,5.1919937,213.69006
"262",2020-04-22 21:00:00,3.0758414,200.55605
"263",2020-04-22 22:00:00,1.08,180
"264",2020-04-22 23:00:00,1.0182338,44.999985
"265",2020-04-23 00:00:00,2.8116899,39.805573
"266",2020-04-23 01:00:00,3.8268526,41.18593
"267",2020-04-23 02:00:00,4.6938257,32.47119
"268",2020-04-23 03:00:00,5.1165614,39.2894
"269",2020-04-23 04:00:00,5.8603754,42.510437
"270",2020-04-23 05:00:00,5.991594,57.26477
"271",2020-04-23 06:00:00,5.8048253,60.25511
"272",2020-04-23 07:00:00,9.021574,61.38954
"273",2020-04-23 08:00:00,6.9527545,68.7495
"274",2020-04-23 09:00:00,1.484318,104.03624
"275",2020-04-23 10:00:00,4.072935,225
"276",2020-04-23 11:00:00,5.692099,235.30484
"277",2020-04-23 12:00:00,9.585739,235.71313
"278",2020-04-23 13:00:00,11.090103,234.24612
"279",2020-04-23 14:00:00,12.88981,234.09029
"280",2020-04-23 15:00:00,12.313894,232.12502
"281",2020-04-23 16:00:00,13.18308,235.00798
"282",2020-04-23 17:00:00,12.287555,238.17256
"283",2020-04-23 18:00:00,12.181624,235.8403
"284",2020-04-23 19:00:00,6.1305785,229.76364
"285",2020-04-23 20:00:00,7.386582,223.02507
"286",2020-04-23 21:00:00,4.510787,208.61046
"287",2020-04-23 22:00:00,3.0758414,159.44395
"288",2020-04-23 23:00:00,4.3498964,114.44395
"289",2020-04-24 00:00:00,5.815978,111.80141
"290",2020-04-24 01:00:00,6.151683,110.556046
"291",2020-04-24 02:00:00,5.8603754,100.61965
"292",2020-04-24 03:00:00,5.3999996,89.99999
"293",2020-04-24 04:00:00,5.5887027,75.06858
"294",2020-04-24 05:00:00,5.4833565,66.8014
"295",2020-04-24 06:00:00,5.95906,64.98311
"296",2020-04-24 07:00:00,9.47012,81.25384
"297",2020-04-24 08:00:00,7.92,89.99999
"298",2020-04-24 09:00:00,3.5455887,113.96249
"299",2020-04-24 10:00:00,3.671294,191.30994
"300",2020-04-24 11:00:00,5.8603754,222.51045
"301",2020-04-24 12:00:00,9.585739,235.71313
"302",2020-04-24 13:00:00,10.883676,235.7843
"303",2020-04-24 14:00:00,13.281023,237.17145
"304",2020-04-24 15:00:00,12.682018,235.40771
"305",2020-04-24 16:00:00,13.584932,237.99463
"306",2020-04-24 17:00:00,12.181624,235.8403
"307",2020-04-24 18:00:00,12.096214,233.47115
"308",2020-04-24 19:00:00,5.1919937,236.30994
"309",2020-04-24 20:00:00,4.8433046,228.01279
